,q1,q2,q3,q4,q5_1,q5_2,q5_3,q5_4,q5_5,q23,q24,q25,q26,q27,q28,q35,q36_2,q36_3,q36_4,q36_5,q36_6,q36_7,q36_8,q39,q41,q44_2,q44_3,q44_4,q44_5,q44_6,q44_7,q44_8,q45,q58,q60,q64_2,q64_3,q64_4,q64_5,q64_6,q64_7,q64_8,q65_2,q65_3,q66_1,q66_2,q68_1,q68_2,q68_3,q77,q78,q79,q80,q89,q98,weight,stratum,psu,record,year,q88
23,7,2,4,2,1,1,1,1,2,2,2,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,1,2,1,1,1,1,2,1,2,1,1,1,1,1,4,3,7,4,2,1.73,201,391710,43,2015,4
24,6,2,4,2,1,1,1,1,2,2,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,4,1,1,2,1,1,1,1,2,1,2,1,2,1,1,6,1,3,3,3,2,1.73,201,391710,44,2015,1
25,7,2,4,2,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,2,3,1,1,1,1,2,1,1,2,1,3,1,1,1,1,1,2,1,2,1,2,1,2,1,1,2,8,4,2,2,2,1.73,201,391710,46,2015,3
26,6,1,4,2,2,2,2,1,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,2,1,1,3,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,3,8,1,6,2,2,1.37,201,391710,47,2015,3
27,7,1,4,2,1,1,1,1,2,2,2,2,2,2,1,1,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,7,1,5,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,4,7,2,2,2.67,201,391710,48,2015,3
28,7,2,4,2,1,1,1,1,2,2,2,2,2,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,3,1,2,1,1,2,1,1,1,1,2,1,2,1,1,1,1,4,8,3,3,2,2,1.73,201,391710,50,2015,3
29,4,2,1,2,1,1,1,1,2,2,2,2,2,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,8,8,5,7,2,2,4.73,201,391710,52,2015,5
30,7,2,3,2,1,1,1,1,2,2,2,2,2,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,4,3,4,7,3,2,2.55,201,391710,54,2015,5
31,6,1,3,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,3,4,1,1,1,2,1,1,1,7,1,7,1,2,1,1,1,1,1,2,2,2,1,2,1,1,4,8,4,3,4,1,2.07,201,391710,59,2015,4
32,5,1,1,2,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,4,1,1,1,1,2,1,1,1,2,2,1,2,1,1,8,8,2,1,2,2,4.69,201,391710,60,2015,7
33,5,2,1,2,1,1,1,1,2,2,2,2,2,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,4,4,7,5,1,2,4.73,201,391710,61,2015,3
34,5,1,2,2,1,1,1,1,2,2,2,2,2,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,6,6,2,4,1,2,3.77,201,391710,64,2015,5
35,5,1,2,2,1,1,1,1,2,1,2,1,1,1,1,5,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,3,1,3,1,1,1,1,2,1,1,1,2,2,1,2,1,1,4,2,2,2,1,1,3.77,201,391710,65,2015,5
36,4,1,2,2,1,1,1,1,2,2,2,2,2,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,2,1,2,1,1,2,1,5,6,2,2,3.77,201,391710,66,2015,4
37,5,1,2,2,1,1,1,1,2,2,1,2,2,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,5,5,2,2,1,2,3.77,201,391710,67,2015,4
